# 
# Coordonnées des stations du Réseau GNSS Permanent.
# Elles sont exprimées dans le système de référence légal français, c'est-à-dire :
#  - le RGF93, pour les stations situées en Métropole
#  - le WGS84, pour les stations situées en Guadeloupe et en Martinique
#  - le RGFG95, pour les stations situées en Guyane
#  - le RGR92, pour les stations situées à la Réunion
#  - le RGM04, pour les stations situées à Mayotte
#  - le RGSPM06, pour les stations situées à Saint Pierre et Miquelon
# 
# Après les 3 premières lignes d'en-tête, le format du fichier est le suivant :
#  - SITE      : [ %4s] L'acronyme de la station
#  - X,Y,Z     : [ %12.3f]x3 Les coordonnées cartésiennes exprimées en mètres
#  - lat       : [ %14.9f] La latitude exprimée en "deg.minsec" comptée positivement vers le nord
#  - lon       : [ %14.9f] La longitude exprimée en "deg.minsec" comptée positivement vers l'est
#  - he        : [ %9.3f] La hauteur sur l'ellipsoïde exprimée en mètres
#  - ha        : [ %7.4f] La hauteur d'antenne exprimée en mètres et mesurée depuis le repère jusqu'au plan de réferénce de l'antenne (ARP). La définition de l'ARP dépend du modèle d'antenne. Il est très souvent defini comme etant le BPA (Bottom of Pre-Amplifier)
#  - systeme
#    de ref.   : [ %9s] système de référence dans lequel sont exprimées les coordonnées
#  - statut de
#    stabilité : [     %1s] Le statut de stabilité annuel est un critère de stabilité à long terme (pour de plus amples informations http://rgp.ign.fr/STATIONS/statut_stab.php)
# 
# Ces informations sont valides à la date du 03/04/2018.
# 

 SITE       X            Y            Z            lat            lon          he      ha      systeme    statut de
           (m)          (m)          (m)       (deg.minsec)   (deg.minsec)     (m)     (m)     de ref.    stabilité
 CHE2  4215066.554   212263.810  4766322.209   48.400186526    2.525838880   167.795  0.0000     RGF93     B
 CHIZ  4427603.472   -31506.297  4575621.575   46.080045589   -0.242773093   113.202  1.0640     RGF93     A
 CHLD  4118198.910   343198.104  4842305.160   49.424366850    4.454984931   208.275  0.0000     RGF93     B
 CHLN  4119217.139   201579.004  4849271.588   49.483508603    2.480577848   146.265  0.0720     RGF93     B
 CHPH  4236233.463   110997.835  4751117.137   48.273674389    1.300331637   204.090  0.0000     RGF93     A
 CHPO  4135792.507   308402.399  4829620.180   49.321275641    4.155257046   132.344  0.0000     RGF93     N
 CHRM  4219643.141   464453.713  4744696.153   48.221862500    6.165242410   339.265  0.0000     RGF93     B
 CHRX  4428108.058    31869.481  4575283.559   46.074102769    0.244448022   220.997  0.0000     RGF93     B
 CHTA  4381526.287   -79859.645  4618887.997   46.415294739   -1.023905779   111.603  0.0000     RGF93     N
 CHTD  4269736.463    99158.579  4721480.763   48.033596004    1.194934694   193.293  0.0000     RGF93     B
 CHTG  4135853.968  -118088.137  4837806.026   49.390445565   -1.380773470    54.929  2.0809     RGF93     B
 CHTL  4466578.348   497735.591  4511789.422   45.181488280    6.213079107   850.309  0.0000     RGF93     B
 CLFD  4451154.354   241928.563  4547090.611   45.453945581    3.063985802   473.600  0.0000     RGF93     B
 CLFE  4449809.503   245114.486  4548170.344   45.463097223    3.091047437   431.958  0.0720     RGF93     N
 CLMT  4449830.377   244539.408  4548125.760   45.463021460    3.084384486   392.510  0.0000     RGF93     B
 CNNE  4594487.354   561355.471  4373591.286   43.340915865    6.575718795    79.698  0.0000     RGF93     B
 COAU  4130433.848   253914.199  4837313.649   49.383707813    3.310398157   127.491  0.0000     RGF93     B
 COCR  4388683.683    76360.793  4612265.472   46.363867531    0.594853728   164.793  0.0000     RGF93     B
 CONN  4205286.579   288000.890  4770938.621   48.434868453    3.550411232   157.028  0.0000     RGF93     B
 CORT  4664928.473   751615.791  4270552.093   42.175592348    9.091031606   499.359  0.0000     RGF93     A
 CORZ  4658309.024   -19495.992  4342517.569   43.105647114   -0.142325607   324.036  0.0000     RGF93     B
 COUD  4016631.673   166528.780  4935194.783   51.012260235    2.222680453    56.795  0.0720     RGF93     B
 COUT  4514412.363    -9266.371  4490630.764   45.022777245   -0.070338258    81.784  0.0720     RGF93     B
 COVI  4280577.400   -68188.034  4712187.259   47.560842553   -0.544544512   134.446  0.0000     RGF93     B
 CRAL  4662596.777    29881.889  4338374.568   43.074229749    0.220190236   658.321  0.0000     RGF93     B
 CRAU  4636432.378   493526.161  4337622.640   43.072600761    6.043354174    95.119  0.0000     RGF93     N
 CRHX  4244618.300  -264424.550  4737631.354   48.163989012   -3.335297646   195.076  0.0720     RGF93     N
 CRTS  4521846.490   397048.018  4465940.461   44.433363694    5.010508151   246.691  0.0000     RGF93     N
 CSTN  4630329.278   121261.138  4370351.738   43.314023274    1.300052078   212.919  0.0000     RGF93     B
 CUBX  4527704.756   -44759.680  4477073.186   44.520789819   -0.335901237    59.027  0.0000     RGF93     A
 CULA  4390769.927   179993.037  4607657.689   46.325592483    2.205078517   330.130  0.0000     RGF93     B
 DAGO  4190971.262   395604.859  4776065.528   48.475283763    5.233275253   363.589  0.0000     RGF93     N
 DBMH  4199728.284   468410.346  4761746.697   48.361371872    6.215074541   276.890  0.0000     RGF93     N
 DGLG  4019247.319   164573.885  4933144.218   50.593714418    2.204109495    56.771  0.0050     RGF93     B
 DHUI  4239689.431   161137.448  4746627.619   48.235767652    2.103571415   204.842  0.0000     RGF93     B
 DIJO  4315677.944   382514.729  4665484.130   47.183799105    5.035437393   328.731  0.0000     RGF93     B
 DIPL  4224046.583  -153115.624  4760605.210   48.352374717   -2.043353093   116.111  0.0720     RGF93     B
 DIPP  4113192.929    77861.362  4857765.065   49.554509022    1.050405730    55.248  0.0000     RGF93     B
 DJON  4312158.210   380677.951  4668868.235   47.211958010    5.024200345   331.220  0.0720     RGF93     B
 DOCO  4158440.429   432266.407  4800999.519   49.082481188    5.560432447   296.417  0.0000     RGF93     B
 DOCX  4379591.368   406340.016  4603840.293   46.295819565    5.180269003   273.304  0.0000     RGF93     N
 DOJX  4228630.677   381897.726  4743993.325   48.214624646    5.093786714   287.932  0.0000     RGF93     B
 DOLB  4227892.546  -128004.433  4757893.850   48.331262902   -1.440300319    74.218  0.0000     RGF93     B
 DOMP  4223004.510   -40990.701  4763997.344   48.380420561   -0.332205173   269.456  0.0000     RGF93     B
 DOUL  4090657.658   168022.056  4874445.322   50.094357106    2.210748108   111.801  0.0000     RGF93     B
 DRUL  4167610.268   521281.782  4784414.088   48.544263344    7.074616420   388.692  0.0000     RGF93     N
 DRUS  4171554.942   582609.797  4773688.763   48.460269079    7.570231834   184.496  0.0000     RGF93     B
 DUNQ  4014478.634   165918.785  4936947.666   51.025303215    2.220009506    51.103  2.1841     RGF93     B
 EGLT  4483373.866   160636.302  4519408.743   45.241206075    2.030717075   667.022  0.0000     RGF93     B
 ENTZ  4192710.726   562398.964  4757685.775   48.325768595    7.382363563   204.260  0.0000     RGF93     A
 EOST  4188985.678   571026.017  4759935.842   48.344742310    7.454496313   213.297  0.0000     RGF93     B
 EPR2  4174225.041   -26693.130  4806407.952   49.125936897   -0.215899411   116.259  0.0720     RGF93     B
 EQHE  4048144.378   110780.585  4911158.544   50.404925642    1.340318668    89.582  0.0000     RGF93     B
 ERCK  4168605.511   538759.398  4781505.933   48.522288711    7.215114203   296.126  0.0000     RGF93     B
 ESAB  4477793.392   375845.710  4511564.618   45.182556583    4.475244776   207.741  0.0000     RGF93     B
 ETOI  4189647.321   570355.264  4759464.501   48.342361162    7.450818279   233.715  0.0000     RGF93     B
 EZEV  4573471.038   601888.160  4390081.595   43.462794760    7.295021479    76.748  0.0000     RGF93     B
 FAJP  4653568.657   164607.616  4344574.310   43.122654849    2.013302833   367.971  0.0000     RGF93     B
 FAYE  4593385.988   538747.132  4377901.098   43.371477572    6.412227413   312.990  0.0000     RGF93     B
 FDET  4324336.334    47005.465  4672617.262   47.242511240    0.372200676   153.411  0.0000     RGF93     B
 FEGA  4203470.867   245064.842  4774998.355   48.470555066    3.201176356   224.278  0.0000     RGF93     N
 FETA  4167832.360   255595.637  4805310.216   49.120302401    3.303353166   168.387  0.0000     RGF93     B
 FEUR  4447612.979   328894.346  4545009.955   45.440527228    4.134526261   401.856  0.0000     RGF93     B
 FFT2  2986964.849 -5402704.421  1597459.475   14.365284010  -61.034802698   -29.970  0.0000     WGS84     N
 FIED  4354791.506   435806.015  4624932.581   46.462174932    5.425346383   599.672  0.0000     RGF93     B
 FJC2  4662985.751   227641.649  4331633.680   43.025337268    2.474162457   323.178  0.0500     RGF93     N
 FLER  4213648.517   -40437.744  4772226.825   48.444768498   -0.325943121   271.707  0.0720     RGF93     N
 FLGY  4330024.778   464746.129  4645286.227   47.022391376    6.073419017   671.803  0.0000     RGF93     B
 FLRC  4561739.131   286560.940  4434443.699   44.193097087    3.354021201   607.917  0.0000     RGF93     B
 FOUG  4259069.668   475130.198  4708511.335   47.530367259    6.215559105   335.341  0.0000     RGF93     N
 FRAN  4152301.162    12606.949  4825243.957   49.283658962    0.102624598    80.360  0.0000     RGF93     B
 FRGN  4356794.872   369838.419  4628309.682   46.491291128    4.510747469   268.354  0.0000     RGF93     N
 FRTT  4282028.872   417314.350  4693296.381   47.404921312    5.335869918   373.469  0.0000     RGF93     B
 GAJN  4590742.146   337902.356  4400336.929   43.540631495    4.123482734   150.395  0.0000     RGF93     N
 GAMO  4392884.136  4405773.100 -1399682.854  -12.454138813   45.052152670    -3.796  0.0000     RGM04     N
 GARD  4530322.642    24585.148  4474627.765   44.501545743    0.183934655    80.602  0.0000     RGF93     B
 GDIJ  4313999.303   380820.705  4667145.163   47.195780577    5.024106512   315.197  0.0000     RGF93     B
 GIE1  4302664.564   209046.159  4688133.554   47.364681981    2.465355905   212.206  0.0000     RGF93     B
 GINA  4597159.247   465906.746  4382366.581   43.403259274    5.471311733   381.970  0.0000     RGF93     B
 GLRA  4516665.279   357378.650  4475273.030   44.502131260    4.312665712   813.949  0.0000     RGF93     A
 GORN  4241215.892   -59777.033  4747642.520   48.244644364   -0.482696868   224.752  0.0720     RGF93     A
 GRAC  4581708.596   556132.376  4389341.035   43.451615287    6.551474652  1319.861  0.0500     RGF93     B
 GRAS  4581691.159   556114.576  4389360.566   43.451704572    6.551405071  1319.316  0.0350     RGF93     A
 GRON  4344299.844   205495.862  4650009.066   47.062408254    2.422955562   222.837  0.0000     RGF93     B
 GUIP  4226392.958  -326080.504  4749929.154   48.264056289   -4.244256253   154.664  0.0000     RGF93     B
 HERB  4318112.847  -175075.752  4675185.550   47.263126744   -2.191832670    61.506  0.0000     RGF93     N
 HRSN  4103970.431   292251.365  4857632.049   49.553158616    4.042374655   232.430  0.0720     RGF93     B
 ILBO  4347491.510    31706.421  4651268.193   47.072861031    0.250427041    90.474  0.0720     RGF93     B
 ILDX  4436671.275   -91138.374  4566017.864   46.003393898   -1.103650849    59.027  0.1350     RGF93     B
 IRYL  3858718.868 -5044576.807   583534.797    5.170482614  -52.351230448   -28.016  0.0000    RGFG95     N
 ISLA  4180664.162   161075.892  4798188.822   49.061382448    2.122320253    81.646  0.0000     RGF93     B
 IXLT  4636686.525   455208.843  4341471.060   43.101781170    5.362545657    66.132  0.0000     RGF93     N
 IXSG  4198247.821   151301.348  4783326.862   48.535781801    2.035039568   153.534  0.0000     RGF93     B
 JANU  4495454.049   528892.396  4482123.077   44.543729557    6.423611168  2583.886  0.0000     RGF93     B
 JARG  4284262.616   158640.647  4706727.003   47.514388716    2.071422839   158.252  0.0720     RGF93     B
 JEBS  4229779.211   555121.328  4725872.566   48.070746671    7.283660608   230.891  8.2400     RGF93     B
 JOIN  4376405.298  -179487.153  4620866.741   46.432802876   -2.205468919    64.270  0.0000     RGF93     B
 JONZ  4482698.161   -34939.807  4521968.005   45.262906108   -0.264767161    92.125  0.0000     RGF93     N
 JOUX  4373976.918   443957.301  4606479.661   46.314285716    5.474436015   845.502  0.0000     RGF93     B
 KEGA  4248296.215  -254880.042  4734912.449   48.142667917   -3.260021152   222.555  0.0000     RGF93     N
 KONE  4276913.530  -291752.033  4706934.847   47.515670294   -3.540870411    80.423  0.0720     RGF93     B
 KOUG  3855263.392 -5049731.972   563040.204    5.055448792  -52.382309870   107.238  0.0000    RGFG95     N
 LACA  4615743.805   219899.764  4383434.603   43.405155368    2.433928697  1315.554  0.0000     RGF93     B
 LACO  4652176.128    91738.021  4348081.173   43.150476439    1.074688666   293.702  0.0000     RGF93     N
 LAIG  4276426.593   327028.079  4705348.203   47.503278924    4.222289890   286.100  0.0000     RGF93     N
 LALL  4403941.803   441724.214  4578272.507   46.093908097    5.433981068   863.498  0.0000     RGF93     N
 LANN  4207154.780  -252354.544  4771255.072   48.440567533   -3.255741802   117.470  0.0720     RGF93     B
 LAVL  4269443.182   -53906.940  4722385.182   48.042212303   -0.432420698   128.188  0.0000     RGF93     B
 LBRD  4542413.860   -41847.180  4462296.093   44.405311627   -0.314016951    72.560  0.0720     RGF93     B
 LBUG  4521485.049    72694.344  4483242.678   44.564337675    0.551594440   266.485  0.0000     RGF93     B
 LCAU  4518556.278   -84830.486  4485690.215   44.584166640   -1.043192001    73.596  0.0720     RGF93     B
 LCVA  4456911.823    14687.185  4547449.760   45.460585898    0.111971693   181.126  0.0000     RGF93     N
 LENE  4179491.129    66169.220  4801576.649   49.085740304    0.542528775   188.657  0.0720     RGF93     B
 LEPO  3393377.353  4897824.950 -2267723.434  -20.575185028   55.170414504    23.149  0.0000     RGR92     N
 LESA  4613840.167   378034.686  4372894.182   43.333832625    4.410262564    68.662  0.0000     RGF93     N
 LETO  4062328.801   114824.164  4899382.738   50.304998192    1.370864674    62.123  0.0720     RGF93     B
 LGAR  4572456.098    30235.469  4431898.752   44.175067219    0.224391080   136.121  0.0720     RGF93     B
 LGBO  4487010.637    46044.834  4517852.750   45.231369851    0.351657519   258.744  0.0000     RGF93     N
 LGES  4452103.652    95645.970  4551408.542   45.490360012    1.135057142   365.769  0.0000     RGF93     B
 LIL2  4049340.931   221852.838  4906448.715   50.364862639    3.080942462    96.196  0.0000     RGF93     B
 LIZY  4184700.991   221622.861  4792323.840   49.012315700    3.015364232   106.178  0.0000     RGF93     B
 LMCU  4047063.964   217534.907  4908525.698   50.383399676    3.043634027   111.094  0.4090     RGF93     A
 LMDM  4424160.380   283110.427  4571012.212   46.040874071    3.394130407   601.272  0.0000     RGF93     B
 LMMF  2993387.952 -5399363.731  1596748.042   14.354133871  -60.594621428   -26.969  0.0000     WGS84     N
 LONS  4363381.789   424528.376  4617550.214   46.404244113    5.332524553   325.634  0.0000     RGF93     B
 LPAS  4323277.032  -239757.251  4667640.000   47.202902658   -3.102718305    99.527  0.0000     RGF93     B
 LPPZ  4224156.478  -351772.304  4750009.355   48.264652652   -4.453743601    98.548  0.0720     RGF93     B
 LROC  4424632.791   -94175.481  4577543.854   46.093218167   -1.130955179    57.854  0.0000     RGF93     A
 LRTZ  4193915.291   454975.678  4768105.923   48.412583753    6.112940929   262.285  0.0000     RGF93     B
 LSIE  4179950.922    19021.270  4801619.567   49.085881824    0.153862142   207.590  0.0000     RGF93     B
 LUCE  4287689.893   546846.247  4675410.395   47.261805016    7.160547813   741.612  0.0000     RGF93     B
 LUCI  4653100.631   781238.631  4277435.852   42.231061191    9.315109669    63.720  0.0000     RGF93     B
 LULI  4374526.263   225123.973  4620942.459   46.432426820    2.564554267   277.611  0.0720     RGF93     N
 LUMI  4646271.929   721554.443  4295176.639   42.361056233    8.493856137    57.007  0.0000     RGF93     B
 LURI  4616572.759   770557.359  4318464.463   42.531829562    9.283341863    54.179  0.0000     RGF93     A
 MACH  4357345.572  -137152.000  4640159.149   46.584153577   -1.481025725    64.563  0.0720     RGF93     B
 MAGC  4449945.980   224257.765  4549706.269   45.472799483    2.530605519   861.775  0.1387     RGF93     N
 MAGR  4253187.293   246908.333  4730863.966   48.111281511    3.192077201   144.389  0.0000     RGF93     B
 MAIG  3383479.751  4901531.060 -2280412.428  -21.044701468   55.225899652  2165.353  0.0000     RGR92     N
 MAKS  4250693.522   524293.318  4712061.638   47.552280499    7.015346918  1237.199  0.0000     RGF93     B
 MAN2  4274276.150    11584.088  4718385.790   48.010700922    0.091901484   167.933  0.0000     RGF93     B
 MARG  4403346.206   502531.300  4572138.371   46.050390705    6.303853632   524.194  0.0000     RGF93     A
 MARS  4630533.002   433946.051  4350142.489   43.164356093    5.211362171    61.803  0.0700     RGF93     B
 MATC  4413682.751   123658.820  4587799.622   46.172096273    1.361744103   392.283  0.0000     RGF93     B
 MAUL  4723952.661   749473.752  4205541.586   41.305346056    9.005422782   202.480  0.0000     RGF93     A
 MAUP  4232269.231    39698.809  4755887.631   48.312592937    0.321471317   309.179  0.0000     RGF93     B
 MAYG  4379104.717  4418744.326 -1401898.073  -12.465539578   45.152934090   -16.349  3.0356     RGM04     A
 MAZE  4472267.278   -46239.892  4532122.428   45.341819985   -0.353254753    97.432  0.0000     RGF93     B
 MELN  4226433.003   197279.053  4756902.436   48.322214649    2.402092890   128.814  0.0000     RGF93     A
 MERY  4223388.743   286950.879  4755068.967   48.305211826    3.531280208   139.837  0.0000     RGF93     B
 MGIS  4273017.132   202542.353  4715185.957   47.583292748    2.424970410   147.489  0.0000     RGF93     B
 MICH  4578887.139   458434.149  4402461.315   43.552695312    5.430246192   628.136  0.0000     RGF93     B
 MIMZ  4578961.301   -98179.905  4424150.586   44.120226944   -1.134195406    71.660  0.0000     RGF93     A
 MIRE  4227289.149   453358.567  4739013.967   48.174149304    6.071678391   351.055  0.0000     RGF93     B
